dataset,feature_a,feature_b,abs_pearson_corr,is_high_redundancy
chf,G (kg m-2s-1),Xe (-),0.6185814998076784,False
chf,P (kPa),Tin (C),0.6043480067704539,False
chf,P (kPa),Xe (-),0.49178760553079026,False
chf,G (kg m-2s-1),Tin (C),0.36482309179320865,False
chf,L (m),P (kPa),0.32891626647116634,False
chf,L (m),Tin (C),0.30427255548137755,False
chf,Tin (C),Xe (-),0.27639753131975764,False
chf,D (m),G (kg m-2s-1),0.2659007650777313,False
chf,P (kPa),G (kg m-2s-1),0.20488634189483557,False
chf,L (m),Xe (-),0.17253881091815093,False
chf,D (m),L (m),0.1288021699354335,False
chf,D (m),Xe (-),0.1019340946655669,False
chf,D (m),P (kPa),0.07903741178762345,False
chf,D (m),Tin (C),0.037195739527973976,False
chf,L (m),G (kg m-2s-1),0.018692809723696347,False
heat,qprime,Tin,0.07403627256005978,False
heat,Tin,R,0.04811065339676589,False
heat,qprime,Cp,0.03757316974254654,False
heat,Cp,k,0.03522641387014045,False
heat,L,Cp,0.03299181120196454,False
heat,mdot,L,0.03228533279090867,False
heat,Tin,Cp,0.03157395644470455,False
heat,mdot,Cp,0.030328647330045977,False
heat,qprime,L,0.026479552935613555,False
heat,R,Cp,0.026341474102972596,False
heat,R,L,0.021655379942953638,False
heat,mdot,k,0.01815261712942139,False
heat,Tin,k,0.01545212002594829,False
heat,R,k,0.015305445973692614,False
heat,L,k,0.013575585478488725,False
heat,Tin,L,0.013060762300191967,False
heat,qprime,k,0.006714984329342238,False
heat,qprime,R,0.005393945876172299,False
heat,mdot,Tin,0.002376167131126067,False
heat,qprime,mdot,0.0022290151048650173,False
heat,mdot,R,0.0008113208876912656,False
xs,Scatter12,Scatter11,0.9126836707104901,True
xs,Scatter21,Scatter22,0.7713426756860324,False
xs,CaptureFast,Scatter11,0.7650940813518246,False
xs,CaptureFast,Scatter12,0.7601914830947263,False
xs,FissionFast,Scatter12,0.6707664238750103,False
xs,FissionFast,Scatter11,0.6319011548748094,False
xs,FissionFast,CaptureFast,0.5774892401734688,False
xs,Scatter11,Scatter22,0.4231455557657684,False
xs,Scatter11,Scatter21,0.3880558184630842,False
xs,CaptureThermal,Scatter21,0.337126331511068,False
xs,FissionThermal,CaptureThermal,0.23205620274951466,False
xs,CaptureFast,CaptureThermal,0.21635820121403188,False
xs,FissionFast,FissionThermal,0.20773937320371857,False
xs,CaptureFast,Scatter21,0.18042521487218185,False
xs,Scatter12,Scatter22,0.155718527335066,False
xs,FissionThermal,Scatter21,0.11811489536897796,False
xs,CaptureFast,Scatter22,0.09035294051016027,False
xs,Scatter12,Scatter21,0.08184210535005398,False
xs,FissionThermal,Scatter11,0.07322361607420828,False
xs,FissionThermal,Scatter22,0.061758979869775396,False
xs,FissionThermal,Scatter12,0.05782833402442409,False
xs,CaptureFast,FissionThermal,0.04304601634306995,False
xs,CaptureThermal,Scatter22,0.04115280569378468,False
xs,CaptureThermal,Scatter12,0.04040101835791879,False
xs,CaptureThermal,Scatter11,0.02698660832272943,False
xs,FissionFast,CaptureThermal,0.01677801499071619,False
xs,FissionFast,Scatter22,0.011529742427741718,False
xs,FissionFast,Scatter21,0.00806413372309973,False
bwr,vanA,vanB,1.0000000000000002,True
bwr,PSZ,DOM,0.9999999999999977,True
bwr,subcool,power_density,0.05300697464358604,False
bwr,PSZ,power_density,0.050979806736677374,False
bwr,DOM,power_density,0.0509798067366773,False
bwr,PSZ,CRD,0.04195549607386478,False
bwr,DOM,CRD,0.04195549607386429,False
bwr,flow_rate,power_density,0.041909884334367375,False
bwr,vanA,flow_rate,0.03868969622681342,False
bwr,vanB,flow_rate,0.03868969622681341,False
bwr,DOM,subcool,0.028917405660085344,False
bwr,PSZ,subcool,0.028917405660084532,False
bwr,vanB,subcool,0.024159367186834535,False
bwr,vanA,subcool,0.024159367186834438,False
bwr,vanB,CRD,0.021236717981563166,False
bwr,vanA,CRD,0.021236717981563166,False
bwr,PSZ,flow_rate,0.018610842819127227,False
bwr,DOM,flow_rate,0.018610842819126974,False
bwr,CRD,power_density,0.018598891882307282,False
bwr,vanA,VFNGAP,0.016636836050692265,False
bwr,vanB,VFNGAP,0.016636836050692258,False
bwr,power_density,VFNGAP,0.01404356595209645,False
bwr,vanB,power_density,0.013797777218667798,False
bwr,vanA,power_density,0.013797777218667743,False
bwr,subcool,flow_rate,0.010891210970200774,False
bwr,CRD,VFNGAP,0.010466553189176475,False
bwr,PSZ,VFNGAP,0.009891042668947556,False
bwr,DOM,VFNGAP,0.009891042668947359,False
bwr,CRD,flow_rate,0.006181814885580016,False
bwr,subcool,CRD,0.004583647934052755,False
bwr,subcool,VFNGAP,0.0035399374340053416,False
bwr,flow_rate,VFNGAP,0.0026143841304809567,False
bwr,PSZ,vanA,0.0014838223042052266,False
bwr,PSZ,vanB,0.0014838223042052073,False
bwr,DOM,vanB,0.0014838223042048387,False
bwr,DOM,vanA,0.0014838223042048344,False
fp,rough_clad,clad_T,0.1432361702292343,False
fp,pellet_OD,gap_thick,0.11299706220958973,False
fp,inlet_T,clad_T,0.11262900210396624,False
fp,pellet_OD,enrich,0.10097657022935347,False
fp,pellet_h,inlet_T,0.09137549041832367,False
fp,fuel_dens,rough_fuel,0.0867778784280431,False
fp,gap_thick,ax_pow,0.08542250883379189,False
fp,fuel_dens,clad_thick,0.08170010038049137,False
fp,fuel_dens,pellet_OD,0.0809333598834709,False
fp,fuel_dens,porosity,0.07890216370751502,False
fp,rough_fuel,pressure,0.07777600028488008,False
fp,pellet_h,pressure,0.07626531707702011,False
fp,porosity,ax_pow,0.07586011384863688,False
fp,clad_thick,enrich,0.07541041416036395,False
fp,fuel_dens,enrich,0.06813171374744922,False
fp,pellet_h,clad_T,0.06742535743131485,False
fp,pellet_OD,rough_clad,0.06688746527128119,False
fp,enrich,rough_clad,0.06072265886540452,False
fp,gap_thick,rough_fuel,0.05838118766017171,False
fp,pellet_h,rough_fuel,0.054422042109213135,False
fp,clad_thick,pressure,0.05242480670100787,False
fp,clad_thick,pellet_h,0.05197439209611994,False
fp,clad_thick,inlet_T,0.051896502367816406,False
fp,clad_thick,clad_T,0.05051827404432534,False
fp,inlet_T,pressure,0.05021313028588349,False
fp,ax_pow,pressure,0.04921222856961827,False
fp,porosity,gap_thick,0.04659722342140941,False
fp,enrich,pressure,0.04645675787550433,False
fp,ax_pow,clad_T,0.04512615652624998,False
fp,fuel_dens,pellet_h,0.044719651407709705,False
fp,fuel_dens,gap_thick,0.043700782676590055,False
fp,pellet_OD,clad_T,0.04274859991614436,False
fp,gap_thick,clad_T,0.04214669771703896,False
fp,gap_thick,enrich,0.04153313504462605,False
fp,pellet_OD,pellet_h,0.04056563012219594,False
fp,clad_T,pressure,0.03835319318109297,False
fp,porosity,pressure,0.0357013608374179,False
fp,gap_thick,inlet_T,0.03567862553053369,False
fp,rough_fuel,ax_pow,0.03559307694681733,False
fp,fuel_dens,inlet_T,0.03496912580256902,False
fp,fuel_dens,clad_T,0.033251865380944455,False
fp,pellet_h,ax_pow,0.03303921188340251,False
fp,pellet_h,gap_thick,0.03139769681757134,False
fp,pellet_OD,rough_fuel,0.029600867047348853,False
fp,pellet_OD,pressure,0.029570172863490996,False
fp,fuel_dens,pressure,0.029515824727466375,False
fp,porosity,pellet_h,0.028171071574970803,False
fp,clad_thick,rough_fuel,0.026030608922457173,False
fp,enrich,ax_pow,0.025889810831165608,False
fp,inlet_T,rough_clad,0.02503779081484531,False
fp,inlet_T,ax_pow,0.023583711987516513,False
fp,porosity,inlet_T,0.022245044784583286,False
fp,pellet_OD,inlet_T,0.02120341355537244,False
fp,porosity,clad_T,0.018725181021924487,False
fp,porosity,clad_thick,0.01863722340454148,False
fp,clad_thick,rough_clad,0.01796008180725481,False
fp,porosity,rough_fuel,0.01701142555777267,False
fp,enrich,clad_T,0.016929113513565387,False
fp,porosity,enrich,0.016774296091381088,False
fp,porosity,rough_clad,0.015903762607922367,False
fp,gap_thick,pressure,0.014480567317992675,False
fp,enrich,rough_fuel,0.012376042732288326,False
fp,rough_fuel,clad_T,0.012011689235352096,False
fp,rough_clad,ax_pow,0.011579611341762627,False
fp,inlet_T,enrich,0.01038068337939962,False
fp,inlet_T,rough_fuel,0.01027968239256232,False
fp,clad_thick,pellet_OD,0.009834499820062676,False
fp,pellet_OD,ax_pow,0.009529499657657472,False
fp,porosity,pellet_OD,0.007124154287548207,False
fp,pellet_h,enrich,0.006710586781742314,False
fp,clad_thick,gap_thick,0.006474967967988914,False
fp,rough_clad,pressure,0.005451305447139188,False
fp,pellet_h,rough_clad,0.004506211551850056,False
fp,fuel_dens,ax_pow,0.003747933188036907,False
fp,fuel_dens,rough_clad,0.0031023245418187223,False
fp,gap_thick,rough_clad,0.0023240056469579955,False
fp,clad_thick,ax_pow,0.0006111998669749897,False
fp,rough_fuel,rough_clad,0.00020634032089405558,False
rea,h_gap,gamma_frac,0.033193075892567765,False
rea,rod_worth,gamma_frac,0.013970459261226097,False
rea,rod_worth,beta,0.012723579870915156,False
rea,rod_worth,h_gap,0.006825342599100617,False
